1038	4	1 	58 	58 	
-495	18	34 	58 	0 	
1038	4	10 	58 	58 	
-473	7	68 	58 	0 	
-481	1	5 	58 	0 	
-469	10	33 	58 	0 	
-478	7	66 	58 	0 	
-491	14	74 	58 	0 	
-490	8	60 	58 	0 	
-483	3	15 	58 	0 	
592	0	14 	74 	74 	
-331	4	64 	74 	3 	
574	0	23 	74 	74 	
-331	5	20 	74 	2 	
-361	2	39 	74 	1 	
-329	8	60 	74 	1 	
-351	16	1 	74 	2 	
-349	8	76 	74 	0 	
-354	13	31 	74 	1 	
-339	7	5 	74 	2 	
496	7	0 	172 	36 	
-417	0	27 	172 	2 	
496	7	9 	172 	36 	
-418	4	10 	172 	9 	
-430	8	106 	172 	8 	
-405	2	73 	172 	4 	
-416	6	106 	172 	10 	
-430	10	55 	172 	5 	
-432	0	112 	172 	8 	
-405	0	76 	172 	5 	
288	0	0 	607 	379 	
-869	6	10 	607 	17 	
264	0	9 	607 	24 	
-860	4	40 	607 	12 	
-875	1	5 	607 	17 	
-848	5	61 	607 	20 	
-855	9	1 	607 	18 	
-852	15	75 	607 	16 	
-875	6	0 	607 	12 	
-871	0	42 	607 	22 	
26	0	11 	669 	373 	
-862	0	42 	669 	112 	
12	0	20 	669 	368 	
-863	2	4 	669 	26 	
-892	0	68 	669 	32 	
-841	0	31 	669 	124 	
-851	7	88 	669 	17 	
-865	6	5 	669 	15 	
-867	0	87 	669 	102 	
-859	0	80 	669 	148 	
-602	12	83 	69 	4 	
1228	8	14 	69 	8 	
-595	3	2 	69 	4 	
-618	1	14 	69 	1 	
-638	0	46 	69 	2 	
-618	0	28 	69 	3 	
-617	8	72 	69 	0 	
-632	0	9 	69 	1 	
-612	0	85 	69 	2 	
-617	0	49 	69 	1 	
-278	21	79 	62 	4 	
498	0	0 	62 	62 	
-283	8	73 	62 	0 	
-280	19	30 	62 	4 	
-284	1	43 	62 	6 	
-279	7	54 	62 	4 	
-278	0	36 	62 	2 	
-291	0	2 	62 	1 	
-288	2	69 	62 	1 	
-286	13	73 	62 	6 	
-500	20	30 	206 	5 	
609	0	16 	206 	153 	
-500	20	39 	206 	6 	
-507	0	41 	206 	20 	
-521	0	68 	206 	6 	
-492	0	31 	206 	8 	
-507	14	18 	206 	1 	
-515	13	55 	206 	7 	
-514	0	66 	206 	6 	
-506	6	34 	206 	10 	
-471	11	106 	326 	11 	
146	3	3 	326 	326 	
-472	15	14 	326 	10 	
-478	0	87 	326 	9 	
-476	11	15 	326 	15 	
-472	0	45 	326 	16 	
-462	8	98 	326 	7 	
-476	14	90 	326 	8 	
-462	1	107 	326 	15 	
-463	2	31 	326 	50 	
-656	19	50 	514 	29 	
23	4	16 	514 	161 	
-656	19	59 	514 	12 	
-666	0	5 	514 	20 	
-668	0	38 	514 	11 	
-659	1	0 	514 	126 	
-663	15	2 	514 	30 	
-661	14	50 	514 	14 	
-663	11	53 	514 	15 	
-655	3	74 	514 	10 	
673	0	0 	48 	1 	
-409	3	62 	48 	0 	
868	0	2 	48 	48 	
-426	4	33 	48 	2 	
-438	1	57 	48 	1 	
-419	1	62 	48 	2 	
-419	1	1 	48 	1 	
-440	9	4 	48 	4 	
-430	3	75 	48 	1 	
-418	9	37 	48 	0 	
1304	0	0 	179 	8 	
-772	5	58 	179 	4 	
1422	0	7 	179 	96 	
-774	1	24 	179 	4 	
-795	3	3 	179 	5 	
-778	5	57 	179 	4 	
-796	0	6 	179 	2 	
-805	6	64 	179 	2 	
-809	0	76 	179 	2 	
-791	0	3 	179 	3 	
655	6	5 	224 	59 	
-546	1	45 	224 	20 	
655	6	14 	224 	59 	
-544	0	12 	224 	25 	
-573	0	33 	224 	10 	
-537	1	61 	224 	14 	
-560	6	3 	224 	8 	
-563	1	97 	224 	10 	
-560	0	100 	224 	28 	
-550	0	53 	224 	14 	
281	2	20 	597 	323 	
-820	7	39 	597 	25 	
281	2	29 	597 	323 	
-823	4	36 	597 	10 	
-840	5	30 	597 	16 	
-814	6	45 	597 	17 	
-826	5	11 	597 	18 	
-822	6	50 	597 	11 	
-836	4	4 	597 	26 	
-832	1	0 	597 	16 	
-115	0	0 	550 	286 	
-702	22	49 	550 	56 	
52	0	2 	550 	234 	
-713	1	7 	550 	16 	
-732	12	22 	550 	55 	
