75 	58 	0 	
21 	58 	2 	
75 	58 	0 	
14 	58 	0 	
13 	58 	1 	
17 	58 	0 	
14 	58 	0 	
13 	58 	1 	
13 	58 	1 	
13 	58 	0 	
74 	74 	0 	
31 	74 	0 	
74 	74 	0 	
15 	74 	0 	
12 	74 	2 	
18 	74 	0 	
16 	74 	0 	
15 	74 	0 	
11 	74 	0 	
13 	74 	0 	
40 	172 	0 	
14 	172 	0 	
39 	172 	0 	
11 	172 	1 	
10 	172 	0 	
14 	172 	1 	
13 	172 	0 	
8 	172 	0 	
11 	172 	0 	
11 	172 	0 	
76 	607 	0 	
11 	607 	0 	
76 	607 	0 	
14 	607 	0 	
9 	607 	0 	
10 	607 	0 	
14 	607 	0 	
8 	607 	0 	
10 	607 	0 	
12 	607 	0 	
22 	669 	10 	
7 	669 	3 	
22 	669 	10 	
7 	669 	1 	
6 	669 	0 	
9 	669 	2 	
7 	669 	2 	
6 	669 	0 	
7 	669 	0 	
7 	669 	0 	
32 	69 	0 	
67 	69 	0 	
32 	69 	0 	
11 	69 	0 	
10 	69 	0 	
14 	69 	0 	
15 	69 	0 	
13 	69 	0 	
11 	69 	0 	
11 	69 	0 	
17 	62 	0 	
71 	62 	0 	
17 	62 	0 	
10 	62 	0 	
10 	62 	0 	
9 	62 	0 	
11 	62 	0 	
12 	62 	0 	
11 	62 	1 	
9 	62 	0 	
15 	206 	0 	
68 	206 	0 	
15 	206 	0 	
10 	206 	0 	
9 	206 	0 	
10 	206 	0 	
12 	206 	1 	
10 	206 	0 	
9 	206 	1 	
10 	206 	0 	
12 	326 	0 	
44 	326 	0 	
12 	326 	0 	
7 	326 	0 	
7 	326 	0 	
7 	326 	0 	
9 	326 	0 	
7 	326 	0 	
11 	326 	0 	
10 	326 	0 	
9 	514 	2 	
23 	514 	12 	
9 	514 	2 	
6 	514 	0 	
5 	514 	0 	
6 	514 	2 	
8 	514 	0 	
5 	514 	0 	
5 	514 	0 	
5 	514 	0 	
73 	48 	0 	
19 	48 	0 	
75 	48 	0 	
15 	48 	0 	
17 	48 	0 	
13 	48 	0 	
12 	48 	0 	
17 	48 	0 	
17 	48 	0 	
13 	48 	0 	
77 	179 	0 	
22 	179 	0 	
78 	179 	0 	
17 	179 	0 	
11 	179 	0 	
17 	179 	0 	
15 	179 	0 	
13 	179 	0 	
11 	179 	0 	
12 	179 	0 	
51 	224 	0 	
17 	224 	0 	
51 	224 	0 	
14 	224 	0 	
9 	224 	0 	
12 	224 	0 	
13 	224 	0 	
11 	224 	1 	
11 	224 	0 	
11 	224 	0 	
66 	597 	0 	
22 	597 	0 	
66 	597 	0 	
17 	597 	0 	
11 	597 	0 	
13 	597 	0 	
15 	597 	0 	
13 	597 	0 	
10 	597 	0 	
11 	597 	0 	
21 	550 	12 	
11 	550 	3 	
23 	550 	12 	
7 	550 	1 	
11 	550 	3 	
7 	550 	3 	
6 	550 	0 	
11 	550 	3 	
11 	550 	3 	
5 	550 	0 	
14 	21 	0 	
11 	21 	0 	
14 	21 	0 	
63 	21 	0 	
12 	21 	0 	
12 	21 	0 	
14 	21 	0 	
16 	21 	0 	
10 	21 	0 	
12 	21 	0 	
16 	87 	0 	
16 	87 	0 	
16 	87 	0 	
73 	87 	0 	
15 	87 	0 	
16 	87 	0 	
20 	87 	0 	
21 	87 	0 	
8 	87 	0 	
9 	87 	0 	
12 	206 	1 	
12 	206 	1 	
12 	206 	1 	
68 	206 	0 	
11 	206 	0 	
13 	206 	0 	
11 	206 	0 	
10 	206 	0 	
9 	206 	0 	
11 	206 	0 	
14 	335 	0 	
14 	335 	0 	
14 	335 	0 	
70 	335 	0 	
15 	335 	0 	
11 	335 	0 	
15 	335 	0 	
15 	335 	0 	
8 	335 	0 	
8 	335 	0 	
6 	520 	0 	
6 	520 	0 	
6 	520 	0 	
21 	520 	13 	
9 	520 	1 	
7 	520 	2 	
8 	520 	2 	
8 	520 	2 	
7 	520 	0 	
